"PriceList","CAT","SEL","Description","ItemId"
"CODE8X_AUG26_182319065en-US","DOR","XRETRO>","Additional charge for a retrofit exterior door - large","1795"
"CODE8X_AUG26_182319065en-US","DOR","XRETROC","Additional charge to cut down an exterior door","1795"
"CODE8X_AUG26_182319065en-US","DOR","XRS","Exterior door - Detach & reset","1795"
"CODE8X_AUG26_182319065en-US","DOR","XS","Exterior door slab - metal - insulated - flush or panel","1795"
"CODE8X_AUG26_182319065en-US","DOR","XS-","Exterior door slab - solid core lauan/mah./birch - flush","10205"
"CODE8X_AUG26_182319065en-US","DOR","XS--","Exterior door slab - metal - insulated - Standard grade","1795"
"CODE8X_AUG26_182319065en-US","DOR","XS+","Exterior door slab - insulated metal or wood - High grade","1795"
"CODE8X_AUG26_182319065en-US","DOR","XS++","Exterior door slab - fiberglass/wood w/detail - Premium gr","10205"
"CODE8X_AUG26_182319065en-US","DOR","XS+++","Exterior door slab - detailed wood - Deluxe grade","10205"
"CODE8X_AUG26_182319065en-US","DOR","XS8","Exterior door slab, 8' - insulated metal - flush or panel","1795"
"CODE8X_AUG26_182319065en-US","DOR","XS8+","Exterior door slab, 8' - wood or metal - High grade","10205"
"CODE8X_AUG26_182319065en-US","DOR","XS8++","Exterior door slab, 8' - fiberglass/wood - Premium grade","10205"
"CODE8X_AUG26_182319065en-US","DOR","XS8+++","Exterior door slab, 8' - detailed wood - Deluxe grade","10205"
"CODE8X_AUG26_182319065en-US","DOR","XSL","Exterior door sidelite - pre-attached","10207"
"CODE8X_AUG26_182319065en-US","DOR","XSL+","Ext. door sidelite - pre-attached - High grade","10207"
"CODE8X_AUG26_182319065en-US","DOR","XSL+++","Ext. door sidelite - pre-attached - Deluxe grade","10207"
"CODE8X_AUG26_182319065en-US","DOR","XSLRS","Exterior door sidelite - Detach & reset","10207"
"CODE8X_AUG26_182319065en-US","DOR","XSLT","Exterior door sidelite - sidelite only","10207"
"CODE8X_AUG26_182319065en-US","DOR","XSLT+","Exterior door sidelite - sidelite only - High grade","10207"
"CODE8X_AUG26_182319065en-US","DOR","XSLT+++","Exterior door sidelite - sidelite only - Deluxe grade","10207"
"CODE8X_AUG26_182319065en-US","DOR","XSM","Exterior door with storm door - mobile home","1800"
"CODE8X_AUG26_182319065en-US","DOR","XSM+","Exterior door with storm door - High grade - mobile home","1800"
"CODE8X_AUG26_182319065en-US","DOR","XSMRS","Exterior door with storm door - m/home - Detach & reset","1795"
"CODE8X_AUG26_182319065en-US","DOR","XSRS","Exterior door slab - Detach & reset","1795"
"CODE8X_AUG26_182319065en-US","DRY","1/2","1/2"" drywall - hung, taped, floated, ready for paint","655"
"CODE8X_AUG26_182319065en-US","DRY","1/2-","1/2"" drywall - hung, taped, ready for texture","655"
"CODE8X_AUG26_182319065en-US","DRY","1/2+","1/2"" drywall - hung, taped, heavy texture, ready for paint","655"
"CODE8X_AUG26_182319065en-US","DRY","1/2++","1/2"" drywall - hung, taped, with smooth wall finish","655"
"CODE8X_AUG26_182319065en-US","DRY","1/2AC","1/2"" acoustic drywall - hung, taped, ready for texture","655"
"CODE8X_AUG26_182319065en-US","DRY","1/2FT","1/2"" drywall - hung & fire taped only","662"
"CODE8X_AUG26_182319065en-US","DRY","1/2H","1/2"" drywall - hung only (no tape or finish)","664"
"CODE8X_AUG26_182319065en-US","DRY","1/2MR","1/2"" mold/mildew resistant - hung, taped ready for texture","668"
"CODE8X_AUG26_182319065en-US","DRY","1/2MR+","1/2"" mold resistant - hung, taped, floated ready for paint","668"
"CODE8X_AUG26_182319065en-US","DRY","1/2OP","1/2"" drywall over plaster with light texture","666"
"CODE8X_AUG26_182319065en-US","DRY","1/2S10","1/2"" drywall - 4' x 10' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","1/2S12","1/2"" drywall - 4' x 12' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","1/2S8","1/2"" drywall - 4' x 8' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","1/2SM10","1/2"" mold/mildew resistant - 4' x 10' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","1/2SM12","1/2"" mold/mildew resistant - 4' x 12' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","1/2SM8","1/2"" mold/mildew resistant - 4' x 8' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","1/2VN","1/2"" drywall - vinyl coated w/seam battens","664"
"CODE8X_AUG26_182319065en-US","DRY","1/2WR","1/2"" water rock (greenboard) hung, taped ready for texture","668"
"CODE8X_AUG26_182319065en-US","DRY","1/2WR+","1/2"" water rock - hung, taped, floated, ready for paint","668"
"CODE8X_AUG26_182319065en-US","DRY","1/4","1/4"" drywall - hung, taped, floated, ready for paint","655"
"CODE8X_AUG26_182319065en-US","DRY","1/4-","1/4"" drywall - hung, taped, ready for texture","655"
"CODE8X_AUG26_182319065en-US","DRY","1/4+","1/4"" drywall - hung, taped, heavy texture, ready for paint","655"
"CODE8X_AUG26_182319065en-US","DRY","1/4++","1/4"" drywall - hung, taped, with smooth wall finish","655"
"CODE8X_AUG26_182319065en-US","DRY","1/4C","1/4"" drywall - 2 layer curved - floated, ready for paint","10230"
"CODE8X_AUG26_182319065en-US","DRY","1/4C+","1/4"" drywall - 2 layer curved - hvy.texture, ready for pnt","10230"
"CODE8X_AUG26_182319065en-US","DRY","1/4C++","1/4"" drywall - 2 layer curved - smooth wall finish","10230"
"CODE8X_AUG26_182319065en-US","DRY","1/4WM","1/4"" drywall - vinyl coated w/seam battens - mobile home","1803"
"CODE8X_AUG26_182319065en-US","DRY","3/8M","3/8"" drywall - hung, taped, floated - mobile home","655"
"CODE8X_AUG26_182319065en-US","DRY","5/8","5/8"" drywall - hung, taped, floated, ready for paint","670"
"CODE8X_AUG26_182319065en-US","DRY","5/8-","5/8"" drywall - hung, taped, ready for texture","670"
"CODE8X_AUG26_182319065en-US","DRY","5/8+","5/8"" drywall - hung, taped, heavy texture, ready for paint","670"
"CODE8X_AUG26_182319065en-US","DRY","5/8++","5/8"" drywall - hung, taped, with smooth wall finish","670"
"CODE8X_AUG26_182319065en-US","DRY","5/8AC","5/8"" acoustic drywall - hung, taped, ready for texture","655"
"CODE8X_AUG26_182319065en-US","DRY","5/8C","5/8"" drywall - type C - hung, taped, light texture","670"
"CODE8X_AUG26_182319065en-US","DRY","5/8FR","5/8"" gypsum panel - fiber reinforced - abuse resistant","677"
"CODE8X_AUG26_182319065en-US","DRY","5/8FT","5/8"" drywall - hung & fire taped only","677"
"CODE8X_AUG26_182319065en-US","DRY","5/8H","5/8"" drywall - hung only (no tape or finish)","679"
"CODE8X_AUG26_182319065en-US","DRY","5/8MR","5/8"" mold/mildew resistant - hung, taped ready for texture","670"
"CODE8X_AUG26_182319065en-US","DRY","5/8MR+","5/8"" mold resistant - hung, taped, floated ready for paint","670"
"CODE8X_AUG26_182319065en-US","DRY","5/8S10","5/8"" drywall - 4' x 10' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","5/8S12","5/8"" drywall - 4' x 12' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","5/8S8","5/8"" drywall - 4' x 8' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","5/8SM10","5/8"" mold/mildew resistant - 4' x 10' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","5/8SM12","5/8"" mold/mildew resistant - 4' x 12' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","5/8SM8","5/8"" mold/mildew resistant - 4' x 8' sheet (mat. only)","10810"
"CODE8X_AUG26_182319065en-US","DRY","AC","Acoustic ceiling (popcorn) texture","1808"
"CODE8X_AUG26_182319065en-US","DRY","AC-","Acoustic ceiling (popcorn) texture - light","1808"
"CODE8X_AUG26_182319065en-US","DRY","AC+","Acoustic ceiling (popcorn) texture - heavy","1808"
"CODE8X_AUG26_182319065en-US","DRY","ACARMV","Scrape off asbestos acoustic (popcorn) texture-no haul off","1808"
"CODE8X_AUG26_182319065en-US","DRY","ACMN","Acoustic Ceiling (popcorn) Texture - Labor Minimum","10235"
"CODE8X_AUG26_182319065en-US","DRY","ACR","Tear off painted acoustic ceiling (popcorn) texture","10231"
"CODE8X_AUG26_182319065en-US","DRY","ADD","Additional cost for high wall or ceiling - 11' to 14' high","10232"
"CODE8X_AUG26_182319065en-US","DRY","ADD>","Additional cost for high wall or ceiling - over 14' to 20'","10232"
"CODE8X_AUG26_182319065en-US","DRY","ADDFB","Additional cost for foil backed drywall","1824"
"CODE8X_AUG26_182319065en-US","DRY","AGP","Drywall (Agreed Price)","10810"
"CODE8X_AUG26_182319065en-US","DRY","ARCADD","Additional cost to hang and finish drywall archway","11236"
"CODE8X_AUG26_182319065en-US","DRY","ASBRMV","Tear off asbestos drywall (no haul off)","662"
"CODE8X_AUG26_182319065en-US","DRY","BARR","Dust control barrier per square foot","10177"
"CODE8X_AUG26_182319065en-US","DRY","BARRP","Dust control barrier - tension post (per day)","10802"
"CODE8X_AUG26_182319065en-US","DRY","BARRZ","Peel & seal zipper","11153"
"CODE8X_AUG26_182319065en-US","DRY","BARRZ+","Peel & seal zipper - heavy duty","11153"
"CODE8X_AUG26_182319065en-US","DRY","BIDITM","Drywall (Bid Item)","10810"
"CODE8X_AUG26_182319065en-US","DRY","CBEAD","Corner bead - per LF","11238"
"CODE8X_AUG26_182319065en-US","DRY","GLIT","Glitter application to acoustic ceiling","10233"
"CODE8X_AUG26_182319065en-US","DRY","GLU","Additional cost for gluing drywall","1824"
"CODE8X_AUG26_182319065en-US","DRY","HC","Hat channel, 16"" OC","1834"
"CODE8X_AUG26_182319065en-US","DRY","HC>","Hat channel, 24"" OC","1836"
"CODE8X_AUG26_182319065en-US","DRY","LAB","Drywall Installer / Finisher - per hour","10236"
"CODE8X_AUG26_182319065en-US","DRY","LABL","Drywall - General Laborer - per hour","10236"
"CODE8X_AUG26_182319065en-US","DRY","LEAD","5/8"" drywall - lead lined - 4#","670"
"CODE8X_AUG26_182319065en-US","DRY","LF","1/2"" - drywall per LF - up to 2' tall","11238"
"CODE8X_AUG26_182319065en-US","DRY","LF<","1/2"" - drywall per LF - up to 4 inches tall","11238"
"CODE8X_AUG26_182319065en-US","DRY","LF<5/8","5/8"" - drywall per LF - up to 4 inches tall","11238"
"CODE8X_AUG26_182319065en-US","DRY","LF>","1/2"" - drywall per LF - up to 4' tall","11238"
"CODE8X_AUG26_182319065en-US","DRY","LF>5/8","5/8"" - drywall per LF - up to 4' tall","11238"
"CODE8X_AUG26_182319065en-US","DRY","LF5/8","5/8"" - drywall per LF - up to 2' tall","11238"
"CODE8X_AUG26_182319065en-US","DRY","MASKLF","Mask wall - plastic, paper, tape (per LF)","11277"
"CODE8X_AUG26_182319065en-US","DRY","MASKSF","Mask per square foot for drywall work","10238"
"CODE8X_AUG26_182319065en-US","DRY","MASKSF>","Floor protection - plastic and tape - 10 mil","10283"
"CODE8X_AUG26_182319065en-US","DRY","MN","Drywall - Labor Minimum","10235"
"CODE8X_AUG26_182319065en-US","DRY","MNRP","Drywall Repair - Minimum Charge - Labor and Material","10235"
"CODE8X_AUG26_182319065en-US","DRY","MST2","Metal studding, 2 1/2"" wide, 16"" OC, 25 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST2+","Metal studding, 2 1/2"" wide, 16"" OC, 20 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST4","Metal studding, 3 5/8"" wide, 16"" OC, 25 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST4+","Metal studding, 3 5/8"" wide, 16"" OC, 20 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST4<","Metal studding, 3 5/8"" wide, 24"" OC, 25 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST4<+","Metal studding, 3 5/8"" wide, 24"" OC, 20 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST4>","Metal studding, 3 5/8"" wide, 8"" OC, 20 gauge","10241"
"CODE8X_AUG26_182319065en-US","DRY","MST6","Metal studding, 6"" wide, 16"" OC, 25 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST6+","Metal studding, 6"" wide, 16"" OC, 20 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST6<","Metal studding, 6"" wide, 24"" OC, 25 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MST6<+","Metal studding, 6"" wide, 24"" OC, 20 gauge","10240"
"CODE8X_AUG26_182319065en-US","DRY","MSTHL","Metal studding - Labor to frame header/beam","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTL2","Metal studding - 2 1/2"" wide - 16"" OC - Labor only","10240"
"CODE8X_AUG26_182319065en-US","DRY","MSTL2<","Metal studding - 2 1/2"" wide - 24"" OC - Labor only","3200"
"CODE8X_AUG26_182319065en-US","DRY","MSTL2>","Metal studding - 2 1/2"" wide - 12"" OC - Labor only","3198"
"CODE8X_AUG26_182319065en-US","DRY","MSTL24","Metal studding - 2 1/2"" wide - 4"" OC - Labor only","10241"
"CODE8X_AUG26_182319065en-US","DRY","MSTL28","Metal studding - 2 1/2"" wide - 8"" OC - Labor only","10241"
"CODE8X_AUG26_182319065en-US","DRY","MSTL4","Metal studding - 3 5/8"" wide - 16"" OC - Labor only","10240"
"CODE8X_AUG26_182319065en-US","DRY","MSTL4<","Metal studding - 3 5/8"" wide - 24"" OC - Labor only","3200"
"CODE8X_AUG26_182319065en-US","DRY","MSTL4>","Metal studding - 3 5/8"" wide - 12"" OC - Labor only","3198"
"CODE8X_AUG26_182319065en-US","DRY","MSTL44","Metal studding - 3 5/8"" wide - 4"" OC - Labor only","10241"
"CODE8X_AUG26_182319065en-US","DRY","MSTL48","Metal studding - 3 5/8"" wide - 8"" OC - Labor only","10241"
"CODE8X_AUG26_182319065en-US","DRY","MSTL6","Metal studding - 6"" wide - 16"" OC - Labor only","10240"
"CODE8X_AUG26_182319065en-US","DRY","MSTL6<","Metal studding - 6"" wide - 24"" OC - Labor only","3200"
"CODE8X_AUG26_182319065en-US","DRY","MSTL6>","Metal studding - 6"" wide - 12"" OC - Labor only","3198"
"CODE8X_AUG26_182319065en-US","DRY","MSTL64","Metal studding - 6"" wide - 4"" OC - Labor only","10241"
"CODE8X_AUG26_182319065en-US","DRY","MSTL68","Metal studding - 6"" wide - 8"" OC - Labor only","10241"
"CODE8X_AUG26_182319065en-US","DRY","MSTR2","Metal studding - Track - 2 1/2"" wide - 25 ga. - mat. only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTR2+","Metal studding - Track - 2 1/2"" wide - 20 ga. - mat. only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTR4","Metal studding - Track - 3 5/8"" wide - 25 ga. - mat. only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTR4+","Metal studding - Track - 3 5/8"" wide - 20 ga. - mat. only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTR6","Metal studding - Track - 6"" wide - 25 gauge- material only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTR6+","Metal studding - Track - 6"" wide - 20 gauge- material only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTT2","Metal stud - 2 1/2"" wide - 25 gauge - material only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTT2+","Metal stud - 2 1/2"" wide - 20 gauge - material only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTT4","Metal stud - 3 5/8"" wide - 25 gauge - material only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTT4+","Metal stud - 3 5/8"" wide - 20 gauge - material only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTT6","Metal stud - 6"" wide - 25 gauge - material only","10681"
"CODE8X_AUG26_182319065en-US","DRY","MSTT6+","Metal stud - 6"" wide - 20 gauge - material only","10681"
"CODE8X_AUG26_182319065en-US","DRY","PATCH","Drywall patch / small repair, ready for paint","11235"
"CODE8X_AUG26_182319065en-US","DRY","PATCHJ","Tape joint for new to existing drywall - per LF","11238"
"CODE8X_AUG26_182319065en-US","DRY","PATCHLF","Drywall tape joint / repair - per LF","11238"
"CODE8X_AUG26_182319065en-US","DRY","PDB","Drywall (Paid Bill)","10810"
"CODE8X_AUG26_182319065en-US","DRY","RADIANT","Radiant heat - 1/2"" double layer drywall (wire not incl.)","3226"
"CODE8X_AUG26_182319065en-US","DRY","RC","Resilient channel (for sound) - 16"" oc","1820"
"CODE8X_AUG26_182319065en-US","DRY","RC>","Resilient channel (for sound) - 24"" oc","1822"
"CODE8X_AUG26_182319065en-US","DRY","RND","Add for bullnose (rounded) corners","1824"
"CODE8X_AUG26_182319065en-US","DRY","RNDLF","Add for bullnose (rounded) corners - per LF","11238"
"CODE8X_AUG26_182319065en-US","DRY","SG","Suspended grid system for drywall","1826"
"CODE8X_AUG26_182319065en-US","DRY","SHAFT","Shaft wall - 2 hour fire rated","10240"
"CODE8X_AUG26_182319065en-US","DRY","SHAFTL","Shaft wall - liner only","679"
"CODE8X_AUG26_182319065en-US","DRY","TEX","Texture drywall - light hand texture","1829"
"CODE8X_AUG26_182319065en-US","DRY","TEX-","Texture drywall - machine","1829"
"CODE8X_AUG26_182319065en-US","DRY","TEX+","Texture drywall - heavy hand texture","1829"
"CODE8X_AUG26_182319065en-US","DRY","TEX++","Texture drywall - smooth / skim coat","1829"
"CODE8X_AUG26_182319065en-US","DRY","TEXAD","Add on cost to mix PVA sealer with drywall joint compound","1829"
"CODE8X_AUG26_182319065en-US","DRY","TEXMK","Texture drywall - machine - knockdown","1829"
"CODE8X_AUG26_182319065en-US","DRY","WALLF","Fill holes created by wall cavity drying","10802"
"CODE8X_AUG26_182319065en-US","DRY","WDR","Drywall window return - up to 6""","11238"
"CODE8X_AUG26_182319065en-US","DRY","WDR>","Drywall window return - greater than 6""","11238"
"CODE8X_AUG26_182319065en-US","DRY","WRADD","Add on cost for 5/8"" water resistant drywall - Commercial","1824"
"CODE8X_AUG26_182319065en-US","DRY","ZC","Z channel, 16"" OC","1834"
"CODE8X_AUG26_182319065en-US","DRY","ZC>","Z channel, 24"" OC","1836"
"CODE8X_AUG26_182319065en-US","ELE","110","110 volt copper wiring run, box and outlet","848"
"CODE8X_AUG26_182319065en-US","ELE","110+","110 volt copper wiring run, box and outlet - High grade","848"
"CODE8X_AUG26_182319065en-US","ELE","110BOX","110 volt copper wiring run and box - rough-in only","848"
"CODE8X_AUG26_182319065en-US","ELE","110C","110 volt commercial wiring/conduit, box, outlet, switch","848"
"CODE8X_AUG26_182319065en-US","ELE","110CBOX","110 volt commercial wiring/conduit and box - rough-in only","848"
"CODE8X_AUG26_182319065en-US","ELE","110CMC","110 volt metal clad copper wiring, box, outlet, switch","848"
"CODE8X_AUG26_182319065en-US","ELE","110CMCB","110 volt metal clad copper wiring and box - rough-in only","848"
"CODE8X_AUG26_182319065en-US","ELE","110CT","110 volt comm. wiring/conduit, box, tamp.resistant outlet","848"
"CODE8X_AUG26_182319065en-US","ELE","110G","110 volt copper wiring run, box and GFI outlet","849"
"CODE8X_AUG26_182319065en-US","ELE","110S","110 volt copper wiring run, box and switch","835"
"CODE8X_AUG26_182319065en-US","ELE","110T","110 volt copper wiring run, box, tamper-resistant outlet","848"
"CODE8X_AUG26_182319065en-US","ELE","220","220 volt copper wiring run, box and receptacle","850"
"CODE8X_AUG26_182319065en-US","ELE","220BOX","220 volt copper wiring run and box - rough-in only","850"
"CODE8X_AUG26_182319065en-US","ELE","220C","220 volt commercial wiring/conduit, box, outlet, switch","850"
"CODE8X_AUG26_182319065en-US","ELE","220CBOX","220 volt commercial wiring/conduit and box - rough-in only","850"
"CODE8X_AUG26_182319065en-US","ELE","220CMC","220 volt metal clad copper wiring, box, outlet, switch","850"
"CODE8X_AUG26_182319065en-US","ELE","220CMCB","220 volt metal clad copper wiring and box - rough-in only","850"
"CODE8X_AUG26_182319065en-US","ELE","AESB","Scoreboard - rough-in","10243"
"CODE8X_AUG26_182319065en-US","ELE","AGP","Electrical (Agreed Price)","10810"
"CODE8X_AUG26_182319065en-US","ELE","BBH","Baseboard electric heater - 6'","1841"
"CODE8X_AUG26_182319065en-US","ELE","BBH<","Baseboard electric heater - 4'","1843"
"CODE8X_AUG26_182319065en-US","ELE","BBH<<","Baseboard electric heater - 3'","1843"
"CODE8X_AUG26_182319065en-US","ELE","BBH<<<","Baseboard electric heater - 2'","1843"
"CODE8X_AUG26_182319065en-US","ELE","BBH<5","Baseboard electric heater - 5'","1841"
"CODE8X_AUG26_182319065en-US","ELE","BBH>","Baseboard electric heater - 8'","1845"
"CODE8X_AUG26_182319065en-US","ELE","BBH>>","Baseboard electric heater - 10'","1847"
"CODE8X_AUG26_182319065en-US","ELE","BBH>7","Baseboard electric heater - 7'","1845"
"CODE8X_AUG26_182319065en-US","ELE","BBH>RS","Baseboard electric heater - 7' to 10' - Detach & reset","1845"
"CODE8X_AUG26_182319065en-US","ELE","BBHC","Baseboard heater replacement cover","10492"
"CODE8X_AUG26_182319065en-US","ELE","BBHEC","Baseboard heater end cover","10810"
"CODE8X_AUG26_182319065en-US","ELE","BBHH2","Baseboard electric heater - 2' - hydronic","1843"
"CODE8X_AUG26_182319065en-US","ELE","BBHH3","Baseboard electric heater - 3' - hydronic","1843"
"CODE8X_AUG26_182319065en-US","ELE","BBHH4","Baseboard electric heater - 4' - hydronic","1843"
"CODE8X_AUG26_182319065en-US","ELE","BBHH5","Baseboard electric heater - 5' - hydronic","1843"
"CODE8X_AUG26_182319065en-US","ELE","BBHH6","Baseboard electric heater - 6' - hydronic","1841"
"CODE8X_AUG26_182319065en-US","ELE","BBHH7","Baseboard electric heater - 7' - hydronic","1845"
"CODE8X_AUG26_182319065en-US","ELE","BBHH8","Baseboard electric heater - 8' - hydronic","1845"
"CODE8X_AUG26_182319065en-US","ELE","BBHIRS","Baseboard electric heater - in place - Detach & reset","1841"
"CODE8X_AUG26_182319065en-US","ELE","BBHRS","Baseboard electric heater - 4' to 6' - Detach & reset","1841"
"CODE8X_AUG26_182319065en-US","ELE","BBHRS<","Baseboard electric heater - 2' to 3' - Detach & reset","1843"
"CODE8X_AUG26_182319065en-US","ELE","BFAN","Bathroom ventilation fan, light, and heater","1849"
"CODE8X_AUG26_182319065en-US","ELE","BFAN<","Bathroom ventilation fan, light, and heater - Small","1851"
"CODE8X_AUG26_182319065en-US","ELE","BFAN>","Bathroom ventilation fan, light, and heater - Large","1853"
"CODE8X_AUG26_182319065en-US","ELE","BFANL","Bathroom ventilation fan w/light","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFANL-","Bathroom ventilation fan w/light - Standard grade","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFANL+","Bathroom ventilation fan w/light - High grade","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFANL++","Bathroom ventilation fan w/light - Premium grade","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFANRS","Bathroom ventilation fan light and heater - Detach & reset","1849"
"CODE8X_AUG26_182319065en-US","ELE","BFANV","Bathroom ventilation fan","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFANV-","Bathroom ventilation fan - Standard grade","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFANV+","Bathroom ventilation fan - High grade","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFANV++","Bathroom ventilation fan - Premium grade","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFANVRS","Bathroom ventilation fan - Detach & reset","10524"
"CODE8X_AUG26_182319065en-US","ELE","BFCRS","Bathroom ventilation fan cover - Detach & reset","1849"
"CODE8X_AUG26_182319065en-US","ELE","BHEAT","Bathroom ceiling heater - 1 bulb","1849"
"CODE8X_AUG26_182319065en-US","ELE","BHEAT>","Bathroom ceiling heater - 2 bulb","1853"
"CODE8X_AUG26_182319065en-US","ELE","BIDITM","Electrical (Bid Item)","10810"
"CODE8X_AUG26_182319065en-US","ELE","BONDC","Bonding/Grounding clamp","10249"
"CODE8X_AUG26_182319065en-US","ELE","BPA100","Breaker panel - 100 amp w/arc fault breakers","1858"
"CODE8X_AUG26_182319065en-US","ELE","BPA125","Breaker panel - 125 amp w/arc fault breakers","1860"
"CODE8X_AUG26_182319065en-US","ELE","BPA150","Breaker panel - 150 amp w/arc fault breakers","1860"
"CODE8X_AUG26_182319065en-US","ELE","BPA200","Breaker panel - 200 amp w/arc fault breakers","1862"
"CODE8X_AUG26_182319065en-US","ELE","BPA300","Breaker panel - 300 amp w/arc fault breakers","1864"
"CODE8X_AUG26_182319065en-US","ELE","BPA70","Breaker panel - 70 amp w/arc fault breakers","1856"
"CODE8X_AUG26_182319065en-US","ELE","BPC","Electrical panel cover","10250"
"CODE8X_AUG26_182319065en-US","ELE","BPNL<RS","Breaker panel - 70 to 150 amp - Detach & reset","1856"
"CODE8X_AUG26_182319065en-US","ELE","BPNL100","Breaker panel - 100 amp","1858"
"CODE8X_AUG26_182319065en-US","ELE","BPNL125","Breaker panel - 125 amp","1860"
"CODE8X_AUG26_182319065en-US","ELE","BPNL150","Breaker panel - 150 amp","1860"
"CODE8X_AUG26_182319065en-US","ELE","BPNL200","Breaker panel - 200 amp","1862"
"CODE8X_AUG26_182319065en-US","ELE","BPNL300","Breaker panel - 300 amp","1864"
"CODE8X_AUG26_182319065en-US","ELE","BPNL70","Breaker panel - 70 amp","1856"
"CODE8X_AUG26_182319065en-US","ELE","BPNLRS","Breaker panel - 200 to 300 amp - Detach & reset","1862"
"CODE8X_AUG26_182319065en-US","ELE","BRK","Circuit breaker - 110 volt - single pole","1869"
"CODE8X_AUG26_182319065en-US","ELE","BRK220","Circuit breaker - 220 volt - double pole","1871"
"CODE8X_AUG26_182319065en-US","ELE","BRKAFCI","Circuit breaker - arc-fault circuit-interrupter (AFCI)","1873"
"CODE8X_AUG26_182319065en-US","ELE","BRKGFI","Circuit breaker - ground-fault circuit-interrupter (GFI)","1873"
"CODE8X_AUG26_182319065en-US","ELE","BRKMD","Circuit breaker - main disconnect - 125 amp","1875"
"CODE8X_AUG26_182319065en-US","ELE","BRKMD<","Circuit breaker - main disconnect - up to 100 amp","1875"
"CODE8X_AUG26_182319065en-US","ELE","BRKMD>","Circuit breaker - main disconnect - 150 to 200 amp","1875"
"CODE8X_AUG26_182319065en-US","ELE","BUSDCT","Bus Duct","10270"
"CODE8X_AUG26_182319065en-US","ELE","CB<","Circuit breaker - bolt-on - 1 pole, 15 to 60 amp","1869"
"CODE8X_AUG26_182319065en-US","ELE","CB1200","Main circuit breaker - 3 pole, 1200 amp","1875"
"CODE8X_AUG26_182319065en-US","ELE","CB2","Circuit breaker - bolt-on - 2 pole, 70 to 100 amp","1871"
"CODE8X_AUG26_182319065en-US","ELE","CB2<","Circuit breaker - bolt-on - 2 pole, 15 to 60 amp","1871"
"CODE8X_AUG26_182319065en-US","ELE","CB2000","Main circuit breaker - 3 pole, 2,000 amp","1875"
"CODE8X_AUG26_182319065en-US","ELE","CB3","Circuit breaker - bolt-on - 3 pole, 70 to 100 amp","10244"
"CODE8X_AUG26_182319065en-US","ELE","CB3<","Circuit breaker - bolt-on - 3 pole, 15 to 60 amp","10244"
"CODE8X_AUG26_182319065en-US","ELE","CB3>","Circuit breaker - bolt-on - 3 pole, 225 amp","10244"
"CODE8X_AUG26_182319065en-US","ELE","CB3>>","Circuit breaker - bolt-on - 3 pole, 400 amp","10244"
"CODE8X_AUG26_182319065en-US","ELE","CB3>>>","Circuit breaker - bolt-on - 3 pole, 600 amp","10244"
"CODE8X_AUG26_182319065en-US","ELE","CB400","Main circuit breaker - 3 pole, 400 amp","10244"
